,,判賠比率,判決案由
244,臺灣屏東地方法院民事判決109年度建字第29號,0,給付監造服務費等
245,臺灣桃園地方法院民事判決109年度建字第90號,0.835616438,返還價金等
246,臺灣橋頭地方法院民事判決106年度建字第39號,0.639338298,給付工程款
247,臺灣臺中地方法院民事判決107年度建字第13號,0,給付工程款
248,臺灣臺中地方法院民事判決108年度建字第123號,0.637028334,給付工程款
249,臺灣臺中地方法院民事判決108年度建字第125號,0,損害賠償
250,臺灣臺中地方法院民事判決109年度建字第34號,,給付工程款
251,臺灣臺中地方法院民事判決110年度建字第3號,0,給付工程款等
252,臺灣臺北地方法院民事判決106年度建字第165號,0.115452917,損害賠償
253,臺灣臺北地方法院民事判決108年度建字第83號,,損害賠償等
254,臺灣臺北地方法院民事判決109年度建字第240號,,給付承攬報酬
255,臺灣臺北地方法院民事判決109年度建字第31號,0,損害賠償等
256,臺灣臺北地方法院民事判決109年度建字第53號,0.214337003,給付工程款
257,臺灣臺北地方法院民事判決110年度建字第86號,,給付工程款
258,臺灣苗栗地方法院民事判決110年度建字第9號,1,給付工程款
259,臺灣雲林地方法院民事判決109年度建字第10號,0.786683333,給付工程款
260,臺灣高雄地方法院民事判決108年度建字第29號,0.038629079,給付工程款
261,臺灣南投地方法院民事判決109年度建字第3號,0.539721774,給付工程款
262,臺灣嘉義地方法院民事判決108年度建字第16號,0.473828653,給付逾期違約金等
263,臺灣嘉義地方法院民事判決109年度建字第26號,0,返還履約保證金
264,臺灣基隆地方法院民事判決109年度建字第13號,0,給付工程款
265,臺灣基隆地方法院民事判決110年度建字第4號,0,返還溢收工程款等
266,臺灣士林地方法院民事判決107年度建字第9號,,給付工程款
267,臺灣士林地方法院民事判決110年度建字第5號,,履行承攬契約等
268,臺灣宜蘭地方法院民事判決107年度建字第20號,,給付工程款
269,臺灣宜蘭地方法院民事判決108年度建字第7號,,不當得利等
270,臺灣屏東地方法院民事判決109年度建字第31號,1,給付工程款
271,臺灣新北地方法院民事判決108年度建字第119號,0.913475625,給付工程款
272,臺灣新竹地方法院民事判決107年度建字第72號,,給付工程款
273,臺灣新竹地方法院民事判決110年度建字第21號,1,給付工程款
274,臺灣桃園地方法院民事判決103年度建字第37號,0.986307098,給付工程款
275,臺灣桃園地方法院民事判決108年度建字第107號,0.031356784,損害賠償
276,臺灣桃園地方法院民事判決109年度建字第119號,0.628160063,返還不當得利
277,臺灣橋頭地方法院民事判決109年度建字第37號,,返還溢領工程款等
278,臺灣臺中地方法院民事判決107年度建字第166號,0,給付工程款
279,臺灣臺中地方法院民事判決107年度建字第8號,0.160295833,給付懲罰性違約金等
280,臺灣臺中地方法院民事判決108年度建字第154號,0,給付工程款
281,臺灣臺中地方法院民事判決108年度建字第22號,0,給付工程款
282,臺灣臺中地方法院民事判決108年度建字第3號,,給付工程款等
283,臺灣臺中地方法院民事判決108年度建字第76號,0,給付工程款等
284,臺灣臺中地方法院民事判決109年度建字第159號,0.047427605,給付承攬報酬
285,臺灣臺北地方法院民事判決104年度建字第415號,,給付工程款
286,臺灣臺北地方法院民事判決105年度建字第284號,0.784404074,給付工程款
287,臺灣臺北地方法院民事判決106年度建字第161號,0.4615147,損害賠償
288,臺灣臺北地方法院民事判決107年度建字第215號,,給付工程款等
289,臺灣臺北地方法院民事判決107年度建字第446號,0.448034478,給付代墊費用
290,臺灣臺北地方法院民事判決108年度建字第372號,0.681463069,給付承攬報酬
291,臺灣臺北地方法院民事判決108年度建字第71號,0.969142964,返還工程保固保證金
292,臺灣臺北地方法院民事判決109年度建字第133號,0,給付工程款
293,臺灣臺北地方法院民事判決109年度建字第182號,1,給付承攬報酬
294,臺灣臺北地方法院民事判決109年度建字第257號,0,給付工程款
295,臺灣臺北地方法院民事判決109年度建字第336號,1,給付工程款
296,臺灣臺北地方法院民事判決109年度建字第380號,0,給付工程款等
297,臺灣臺北地方法院民事判決109年度建字第83號,,確認工程款債權不存在
298,臺灣臺北地方法院民事判決109年度建字第84號,0.899999981,給付工程保留款等
299,臺灣臺北地方法院民事判決110年度建字第142號,1,返還工程款等
300,臺灣臺北地方法院民事判決110年度建字第43號,1,給付工程款
301,臺灣臺北地方法院民事判決110年度建字第48號,0.444444444,給付承攬報酬等
302,臺灣臺北地方法院民事判決110年度建字第62號,1,給付承攬報酬等
303,臺灣臺北地方法院民事判決110年度建字第63號,,給付承攬報酬等
304,臺灣臺北地方法院民事判決110年度建字第94號,,給付工程款等
305,臺灣臺南地方法院民事判決107年度建字第53號,0.5477592,請求損害賠償
306,臺灣臺南地方法院民事判決109年度建字第46號,,給付工程款
307,臺灣臺南地方法院民事判決110年度建字第25號,1,給付工程款
308,臺灣臺南地方法院民事判決110年度建字第35號,,給付工程款
309,臺灣雲林地方法院民事判決108年度建字第2號,0.304953925,損害賠償等
310,臺灣雲林地方法院民事判決109年度建字第4號,,給付違約金等
311,臺灣雲林地方法院民事判決109年度建字第7號,0.497441656,給付工程款
312,臺灣雲林地方法院民事判決110年度建字第2號,0,給付工程款
313,臺灣高雄地方法院民事判決107年度建字第69號,1,回復原狀
314,臺灣高雄地方法院民事判決108年度建字第47號,1,給付工程款
315,臺灣高雄地方法院民事判決109年度建字第43號,0.601915253,給付工程款
316,臺灣高雄地方法院民事判決110年度建字第1號,1,損害賠償
317,臺灣嘉義地方法院民事判決109年度建字第1號,0,給付工程款
318,臺灣嘉義地方法院民事判決110年度建字第15號,0,給付工程款
319,臺灣士林地方法院民事判決109年度建字第45號,,給付違約金
320,臺灣屏東地方法院民事判決108年度建字第31號,0.074639732,損害賠償等
321,臺灣屏東地方法院民事判決109年度建字第19號,,返還不當得利
322,臺灣彰化地方法院民事判決108年度建字第20號,0.978571111,給付工程款
323,臺灣新北地方法院民事判決107年度建字第106號,1,返還不當得利
324,臺灣新北地方法院民事判決109年度建字第73號,0,給付工程款
325,臺灣新北地方法院民事判決110年度建字第17號,0,給付工程款
326,臺灣新北地方法院民事判決110年度建字第6號,0.07276245,給付工程款
327,臺灣新竹地方法院民事判決106年度建字第30號,0.849712921,給付承攬報酬
328,臺灣新竹地方法院民事判決107年度建字第57號,,給付工程款
329,臺灣新竹地方法院民事判決108年度建字第43號,0.73266501,給付工程款
330,臺灣新竹地方法院民事判決109年度建字第10號,0,給付工程款
331,臺灣新竹地方法院民事判決109年度建字第29號,0.979873976,返還工程款
332,臺灣桃園地方法院民事判決109年度建字第20號,1,損害賠償
333,臺灣桃園地方法院民事判決109年度建字第45號,0,給付工程款
334,臺灣桃園地方法院民事判決109年度建字第81號,0.536803665,給付工程款
